Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2025-12-24,3198.595947265625,3206.4021959958864,3176.5267894381177,3184.236571775606,1367708
2025-12-26,3161.010986328125,3199.559900795541,3153.108505919085,3192.9103071634727,1176664
2025-12-29,3133.54443359375,3168.7203129805475,3125.2563240630398,3161.0105311971397,2079473
2025-12-30,3129.015380859375,3148.9643966982817,3121.9801570326194,3132.0992469072426,2807593
2025-12-31,3089.88818359375,3128.2444004402787,3082.467564635931,3122.462063286045,3362634
2026-01-01,3110.31884765625,3116.775978595714,3082.1781891606697,3098.368779137981,1255735
2026-01-02,3132.773681640625,3136.243177859361,3102.7055771191704,3116.6795578205924,1184324
2026-01-05,3099.42919921875,3129.2081416238766,3075.23966120166,3122.9439430034404,2341703
2026-01-06,3137.688720703125,3144.8201752673103,3088.7315556964636,3093.550169667909,2912325
2026-01-07,3176.044921875,3180.8635358265738,3106.271250685878,3125.2565425983025,1989442
2026-01-08,3087.671630859375,3167.6606296336045,3066.566193971062,3167.6606296336045,4159336
2026-01-09,3091.43017578125,3112.5356118812538,3075.239584998998,3075.239584998998,1938673
2026-01-12,3122.076416015625,3134.026484388671,3059.145271347969,3086.804068110982,2228342
2026-01-13,3149.446044921875,3161.0107182814413,3094.0319850739534,3127.2804209827063,5645341
2026-01-14,3076.684814453125,3141.736098705462,3067.529448521315,3141.736098705462,3539511
2026-01-15,3076.684814453125,3076.684814453125,3076.684814453125,3076.684814453125,0
2026-01-16,3146.54931640625,3161.464149941515,3111.519017760894,3159.0110444402844,4293470
2026-01-19,3104.258056640625,3159.600023336744,3092.973770842994,3128.2002715520307,3387562
2026-01-20,3044.10791015625,3100.7255406282875,3033.118044759914,3092.4832014713097,4499273
2026-01-21,3064.027099609375,3079.6287553253787,3024.188569033875,3041.8509292683366,2015150
2026-01-22,3091.305419921875,3100.7254411371077,3063.7326570458863,3090.9130188550284,2269827
2026-01-23,3103.178466796875,3134.578217290946,3092.875423666008,3130.457047950816,2068857
2026-01-27,3098.762939453125,3115.4440572399217,3071.2881572160486,3115.4440572399217,4279874
2026-01-28,3140.073486328125,3145.0776781720924,3111.1268393421374,3116.425451779539,2751234
2026-01-29,3085.41796875,3140.07335254898,3066.9708064954257,3140.07335254898,2457641
2026-01-30,3065.302490234375,3082.081828102924,3034.000959087629,3082.081828102924,3022068
2026-02-02,3110.1455078125,3138.0126916764966,3075.2131881532646,3138.0126916764966,2636272
2026-02-03,3164.800537109375,3287.1613923698505,3126.53209104895,3287.1613923698505,4366060
2026-02-04,2942.84375,3061.475843095512,2929.9893806035893,3061.475843095512,10852595
2026-02-05,2935.38623046875,2972.869637012123,2916.5464269268496,2933.9143670738968,3521545
2026-02-06,2886.422119140625,2929.0079343210614,2861.302223276454,2920.765595757455,4687389
2026-02-09,2892.8984375,2921.15826303242,2882.3991930324937,2903.5941220720847,2380318
2026-02-10,2928.61572265625,2955.109263473934,2888.2865702537815,2894.468444356794,3547763
2026-02-11,2855.21875,2941.76426862986,2849.723697569715,2924.1019081110685,3363513
2026-02-12,2698.51416015625,2825.977420921291,2688.603518515395,2815.9687988010764,10612156
2026-02-13,2641.7001953125,2662.110080925881,2536.5110796879476,2536.5110796879476,11168735
2026-02-16,2655.830322265625,2668.7826718221954,2620.898002964758,2649.3540277067937,2918730
2026-02-17,2666.427490234375,2708.228504276998,2644.6439610469733,2665.0538469624375,4209118
2026-02-18,2644.349609375,2678.7913077273606,2607.4550449905755,2678.7913077273606,2950820
2026-02-19,2627.66845703125,2697.140454434555,2616.5806115438327,2657.2039438116426,3238849
2026-02-20,2635.812744140625,2651.905259923164,2597.838718993336,2616.972941852777,2293482
2026-02-23,2626.0986328125,2653.2789947204583,2610.3005370564806,2635.616634548502,4699596
2026-02-24,2525.423095703125,2597.8388206557183,2513.255787797201,2591.460746119642,7798833
2026-02-25,2579.980224609375,2604.4130601353972,2546.3235684513456,2547.3048106742554,3621285
2026-02-26,2598.034912109375,2620.897903167908,2585.5731841435563,2600.2918170703697,3464267
2026-02-27,2587.92822265625,2638.168017666852,2576.8403768444346,2631.299321894741,5083717
2026-03-02,2564.4765625,2574.5834053591284,2531.8993684474203,2543.37985460111,3374385
2026-03-04,2539.2587890625,2585.5733762002424,2531.997452542583,2575.7609535201655,3446434
2026-03-05,2530.427490234375,2560.551578540278,2498.6350985020495,2551.229777430436,2960636
2026-03-06,2509.625244140625,2570.069622274581,2505.7002751879877,2523.7550365456814,3998643
2026-03-09,2479.991455078125,2511.9800468111703,2458.0117254929614,2482.542780637602,3653428
2026-03-10,2465.9599609375,2497.45769299971,2443.39138949283,2493.3365235176843,4323710
2026-03-11,2418.663818359375,2473.711601954393,2413.9540474182472,2461.0536733182116,2720664
2026-03-12,2396.5859375,2426.513825649523,2390.3060830242093,2413.6596961153996,2752075
2026-03-13,2365.284423828125,2400.0203033629555,2352.0376535639975,2391.287343235487,2466488
2026-03-16,2364.0087890625,2379.5124645789865,2321.7173916761253,2364.793830777467,3807907
2026-03-17,2346.8369140625,2374.6061161428333,2315.731584337639,2374.6061161428333,2993367
2026-03-18,2395.01611328125,2436.326267951688,2364.793804301608,2364.793804301608,3082388
2026-03-19,2311.806640625,2378.5311107279285,2306.115387909886,2371.6624152761565,2757060
2026-03-20,2345.7578125,2362.6351312433567,2319.8528734315287,2341.2440023374425,4206320
2026-03-23,2339.085205078125,2361.6537756859007,2303.956686393805,2320.6378037995523,3860515
2026-03-24,2353.803955078125,2389.7172776589064,2334.47353068287,2359.0045869106293,3420182
2026-03-25,2332.80517578125,2376.1762738846405,2325.3478785890734,2355.864368126978,5843778
2026-03-27,2344.97265625,2376.6668272056972,2340.262645780238,2358.8080275261386,4979411
2026-03-30,2314.652099609375,2353.0187649541185,2302.1903717438945,2330.5484146912077,6804756
2026-04-01,2363.027587890625,2425.630892660341,2352.9207445923203,2383.4374750291136,4132661
2026-04-02,2404.730224609375,2423.570027038862,2331.1370592120925,2341.24390183887,5378361
2026-04-06,2427.4951171875,2435.4432752720936,2402.2772391631793,2427.593337237373,2572417
